strCodigo,strNombre,strCodFacultad
ABFRN,AJUSTE BASICO - FRN,FRN
CCFADE,CENTRO DE COMPUTO - FADE,CAA
CEF,CENTRO DE EDUCACIÓN FÍSICA,CAA
CFOR,CICLO FORMATIVO,FADE
CI,CENTRO DE IDIOMAS,CAA
CV,COMISION DE VINCULACION,CAA
EBF,BIOQUÍMICA Y FARMACIA,FC
ECQ,CIENCIAS QUÍMICAS,FC
EDG,DISEÑO GRÁFICO,FIE
EES,EDUCACIÓN PARA LA SALUD,FSP
EFM,FÍSICA Y MATEMÁTICA,FC
EGAS,GASTRONOMÍA,FSP
EIA,INGENIERÍA AUTOMOTRÍZ,FIM
EIAGR,INGENIERÍA AGRONÓMICA,FRN
EICA,INGENIERÍA EN CONTABILIDAD Y AUDITORIA,FADE
EIE,INGENIERÍA DE EMPRESAS,FADE
EIECO,INGENIERÍA EN ECOTURISMO,FRN
EIECRI,ESCUELDE DE INGENIERIA ELECTRONICA EN CONTROL Y REDES INDUSTRIALES,FIE
EIETC,INGENIERÍA ELECTRÓNICA,FIE
EIETR,ESCUELA DE INGENIERIA ELECTRONICA EN TELECOMUNICACIONES Y REDES,FIE
EIF,INGENIERIA FORESTAL,FRN
EIFCE,INGENIERÍA FINANCIERA Y COMERCIO EXTERIOR,FADE
EIGT,ESCUELA DE INGENIERÍA EN GESTIÓN DE TRANSPORTE,FADE
EII,INGENIERÍA INDUSTRIAL,FIM
EIIP,INGENIERÍA EN INDUSTRIAS PECUARIAS,FCP
EIM,INGENIERÍA MECÁNICA,FIM
EIMA,INGENIERÍA DE MANTENIMIENTO,FIM
EIMK,INGENIERÍA EN MARKETING,FADE
EIQ,INGENIERÍA QUÍMICA,FC
EIS,INGENIERÍA EN SISTEMAS,FIE
EIZ,INGENIERÍA ZOOTÉCNICA,FCP
EMED,MEDICINA,FSP
END,NUTRICIÓN Y DIETÉTICA,FSP
EXM,EXTENSION MACAS,FXM
EXO,EXTENSION NORTE AMAZONICA,FXM
