strCodigo,strNombre
AURO,AURORA
AZU,AZUAY
BAT,BATZACON
BOL,BOLIVAR
CAL,CALI
CAÑAR,CAÑAR
CARCH,CARCHI
CAUCA,CAUCA
CHI,CHIMBORAZO
CONN,CONNECTICUR
DES,DESCONOCIDA
DIST.,DISTRITO FEDERAL
ELORO,EL ORO
ESM,ESMERALDAS
GAPAG,GALAPAGOS
GUA,GUAYAS
GUAJI,GUAJIRA
IMB,IMBABURA
INDIA,INDIANA
LOJ,LOJA
LRIOS,LOS RIOS
MANA,MANABI
MED,MEDELLIN
MONAS,MORONA SANTIAGO
NAPO,NAPO
NAV.,NAVARRA
ORELA,ORELLANA
PALM,PALMIRA
PAST,PASTAZA
PAYAN,PAYAN
PIC,PICHINCHA
PP,COTOPAXI
PUTUM,PUTUMAYO
SAEL,SANTA ELENA
SAN,SANTANDER
SUCBI,SUCUMBIOS
TUN,TUNGURAHUA
VAL,VALENCIA
VALCA,Valle del Cauca
ZAMO,ZAMORA
ZARUM,ZARUMILA
